Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
"This USGS data file has been deprecated. To continue receiving updates for earthquake information you must switch to the new data format [http://earthquake.usgs.gov/earthquakes/feed/]. In the future, data feeds will be updated and deprecated following our official deprecation policy [http://earthquake.usgs.gov/earthquakes/feed/policy.php]."
ak,10846603,1,"Thursday, November 14, 2013 17:01:57 UTC",65.0777,-147.5542,1.9,0.80,13,"northern Alaska"
nc,72107616,0,"Thursday, November 14, 2013 16:52:57 UTC",38.7912,-122.8092,1.3,3.40,22,"Northern California"
nc,72107611,0,"Thursday, November 14, 2013 16:43:39 UTC",38.8230,-122.8090,1.2,3.10,17,"Northern California"
nc,72107606,0,"Thursday, November 14, 2013 16:42:48 UTC",38.8228,-122.8088,1.0,3.30,19,"Northern California"
ak,10846593,1,"Thursday, November 14, 2013 16:36:12 UTC",61.6532,-150.6255,1.8,0.30,27,"Southern Alaska"
ci,11391706,4,"Thursday, November 14, 2013 16:25:00 UTC",34.0455,-117.2282,1.2,16.80,12,"Greater Los Angeles area, California"
ak,10846582,1,"Thursday, November 14, 2013 16:21:40 UTC",58.9254,-154.3924,2.9,100.00,25,"Alaska Peninsula"
pr,13318002,0,"Thursday, November 14, 2013 16:09:49 UTC",18.8966,-64.2713,2.6,35.00, 4,"Virgin Islands region"
ak,10846578,1,"Thursday, November 14, 2013 16:04:10 UTC",60.0637,-152.6765,2.2,85.50,11,"Southern Alaska"
ak,10846572,1,"Thursday, November 14, 2013 15:32:34 UTC",63.4667,-151.3130,1.6,6.60,10,"Central Alaska"
hv,60591586,1,"Thursday, November 14, 2013 15:18:10 UTC",19.2100,-155.4757,1.8,0.30,69,"Island of Hawaii, Hawaii"
ci,37163829,2,"Thursday, November 14, 2013 15:06:11 UTC",36.4477,-117.0108,1.2,11.70, 7,"Central California"
ak,10846563,1,"Thursday, November 14, 2013 15:00:23 UTC",63.4553,-146.0813,1.9,0.00,19,"Central Alaska"
ci,11391674,3,"Thursday, November 14, 2013 14:56:27 UTC",33.8773,-117.8105,1.2,8.60,19,"Greater Los Angeles area, California"
ak,10846556,2,"Thursday, November 14, 2013 14:48:20 UTC",59.5002,-150.7073,1.2,37.00,10,"Kenai Peninsula, Alaska"
ak,10846550,1,"Thursday, November 14, 2013 14:38:12 UTC",60.8499,-150.7204,1.8,25.90,24,"Kenai Peninsula, Alaska"
ak,10846458,1,"Thursday, November 14, 2013 14:05:24 UTC",61.5248,-151.3689,1.6,69.40,11,"Southern Alaska"
nc,72107566,0,"Thursday, November 14, 2013 13:49:07 UTC",39.2217,-120.4820,1.5,8.30, 8,"Northern California"
uu,60044642,2,"Thursday, November 14, 2013 13:44:50 UTC",38.9590,-111.3930,1.2,1.90, 9,"Utah"
ci,11391650,2,"Thursday, November 14, 2013 13:08:22 UTC",36.0842,-117.8783,1.4,0.90,14,"Central California"
uu,60044637,2,"Thursday, November 14, 2013 12:48:34 UTC",38.7170,-111.4437,1.2,0.40, 5,"Utah"
nc,72107546,0,"Thursday, November 14, 2013 12:38:01 UTC",38.7900,-122.7620,1.1,0.20,19,"Northern California"
nc,72107521,0,"Thursday, November 14, 2013 11:59:50 UTC",38.8287,-122.7952,1.2,2.90,13,"Northern California"
nn,00429168,1,"Thursday, November 14, 2013 11:34:57 UTC",39.7367,-119.5891,1.4,12.90,27,"Nevada"
nc,72107506,0,"Thursday, November 14, 2013 11:30:28 UTC",38.8208,-122.7968,1.0,3.10,13,"Northern California"
ci,11391626,3,"Thursday, November 14, 2013 11:24:51 UTC",33.4630,-116.4713,1.6,14.90,37,"Southern California"
ak,10846354,2,"Thursday, November 14, 2013 11:17:33 UTC",51.4354,-178.7919,3.1,12.30,13,"Andreanof Islands, Aleutian Islands, Alaska"
nn,00429150,1,"Thursday, November 14, 2013 10:03:34 UTC",38.1569,-115.9576,1.7,0.00, 5,"Nevada"
nc,72107496,1,"Thursday, November 14, 2013 09:59:36 UTC",38.8190,-122.7648,1.8,2.40,25,"Northern California"
ci,11391602,3,"Thursday, November 14, 2013 09:39:27 UTC",34.7295,-120.6647,1.8,0.00,21,"offshore Central California"
ak,10846257,2,"Thursday, November 14, 2013 09:24:39 UTC",63.6621,-149.1783,1.2,133.70, 9,"Central Alaska"
nc,72107446,0,"Thursday, November 14, 2013 08:54:42 UTC",38.8045,-122.7720,1.2,0.00,21,"Northern California"
nc,72107421,1,"Thursday, November 14, 2013 08:54:12 UTC",38.8053,-122.7740,2.4,0.10,44,"Northern California"
nc,72107441,0,"Thursday, November 14, 2013 08:53:43 UTC",38.7875,-122.7665,1.0,1.20,10,"Northern California"
nc,72107436,0,"Thursday, November 14, 2013 08:53:36 UTC",38.8010,-122.7702,1.3,0.30,16,"Northern California"
nc,72107426,0,"Thursday, November 14, 2013 08:52:55 UTC",38.7782,-122.7942,1.0,3.20,10,"Northern California"
nc,72107416,0,"Thursday, November 14, 2013 08:52:03 UTC",38.8062,-122.7707,1.4,0.10,20,"Northern California"
nc,72107411,0,"Thursday, November 14, 2013 08:51:43 UTC",38.8067,-122.7752,1.3,1.40,12,"Northern California"
nc,72107391,1,"Thursday, November 14, 2013 08:51:30 UTC",38.8057,-122.7742,2.0,0.50,27,"Northern California"
nc,72107401,0,"Thursday, November 14, 2013 08:51:05 UTC",38.8012,-122.7705,1.1,0.70,17,"Northern California"
ci,11391594,4,"Thursday, November 14, 2013 08:50:46 UTC",33.2867,-116.2450,1.4,10.20,36,"Southern California"
nc,72107361,1,"Thursday, November 14, 2013 08:49:56 UTC",38.7993,-122.7722,2.6,0.30,59,"Northern California"
nc,72107371,0,"Thursday, November 14, 2013 08:49:04 UTC",38.7858,-122.7652,1.2,0.00,11,"Northern California"
nc,72107366,0,"Thursday, November 14, 2013 08:48:58 UTC",38.7800,-122.7358,1.5,1.70, 9,"Northern California"
nc,72107356,0,"Thursday, November 14, 2013 08:48:25 UTC",38.8200,-122.7780,1.3,0.60,17,"Northern California"
nc,72107351,0,"Thursday, November 14, 2013 08:48:07 UTC",38.7818,-122.7827,1.4,0.10,12,"Northern California"
nc,72107336,6,"Thursday, November 14, 2013 08:47:18 UTC",38.7877,-122.7610,3.4,2.50,94,"Northern California"
nc,72107331,0,"Thursday, November 14, 2013 08:38:45 UTC",38.8103,-122.7393,1.1,2.40,20,"Northern California"
nc,72107326,1,"Thursday, November 14, 2013 08:32:48 UTC",38.8262,-122.7947,1.5,2.40,26,"Northern California"
ak,10846142,1,"Thursday, November 14, 2013 08:22:21 UTC",62.6892,-149.8381,1.6,36.80, 7,"Central Alaska"
ak,10846137,1,"Thursday, November 14, 2013 08:00:23 UTC",59.3039,-153.6809,2.5,100.00,20,"Southern Alaska"
nc,72107306,0,"Thursday, November 14, 2013 07:35:45 UTC",38.8118,-122.8170,1.5,3.10, 8,"Northern California"
ak,10846052,2,"Thursday, November 14, 2013 07:28:21 UTC",59.6369,-142.8666,1.5,5.10,17,"Gulf of Alaska"
nc,72107301,1,"Thursday, November 14, 2013 07:28:12 UTC",40.2135,-121.1140,2.6,0.00,34,"Northern California"
ci,11391554,3,"Thursday, November 14, 2013 06:19:20 UTC",35.7782,-118.5112,1.2,7.90,16,"Central California"
ci,11391546,4,"Thursday, November 14, 2013 06:05:38 UTC",33.7617,-116.9233,1.5,15.20,51,"Southern California"
nc,72107271,0,"Thursday, November 14, 2013 05:58:47 UTC",40.2212,-121.0920,2.0,5.90, 9,"Northern California"
ak,10845880,2,"Thursday, November 14, 2013 05:10:49 UTC",52.1743,-168.3457,3.3,13.20,13,"Fox Islands, Aleutian Islands, Alaska"
ci,11391514,3,"Thursday, November 14, 2013 04:56:45 UTC",33.9637,-118.4280,1.6,10.30,28,"Greater Los Angeles area, California"
nc,72107226,0,"Thursday, November 14, 2013 04:50:16 UTC",39.2963,-123.0373,2.4,34.50, 4,"Northern California"
nc,72107221,1,"Thursday, November 14, 2013 04:49:54 UTC",38.8323,-122.7983,2.0,2.50,29,"Northern California"
ak,10845870,1,"Thursday, November 14, 2013 04:44:59 UTC",60.5399,-142.5949,1.2,22.00,14,"Southern Alaska"
ak,10845867,1,"Thursday, November 14, 2013 04:42:28 UTC",61.4965,-150.5392,1.5,51.60,16,"Southern Alaska"
mb,29536,1,"Thursday, November 14, 2013 04:26:55 UTC",44.6816,-111.8878,1.4,6.60,11,"western Montana"
pr,13318001,0,"Thursday, November 14, 2013 04:24:59 UTC",19.1168,-64.0820,3.3,50.00,18,"Virgin Islands region"
hv,60591446,2,"Thursday, November 14, 2013 04:20:25 UTC",19.4177,-155.2663,2.0,2.30,27,"Island of Hawaii, Hawaii"
ak,10845859,1,"Thursday, November 14, 2013 04:17:23 UTC",60.8163,-149.7059,1.4,25.70,15,"Kenai Peninsula, Alaska"
nc,72107201,0,"Thursday, November 14, 2013 04:03:01 UTC",35.4958,-120.7777,1.6,3.20,17,"Central California"
ak,10845855,1,"Thursday, November 14, 2013 04:00:34 UTC",59.9746,-151.0109,1.4,42.60, 7,"Kenai Peninsula, Alaska"
ak,10845843,1,"Thursday, November 14, 2013 03:35:46 UTC",62.9071,-150.8123,1.6,98.30,15,"Central Alaska"
ci,11391490,3,"Thursday, November 14, 2013 03:28:55 UTC",33.3615,-116.3560,1.0,13.20,21,"Southern California"
nc,72107166,0,"Thursday, November 14, 2013 03:06:41 UTC",37.0178,-121.7457,1.2,11.50,11,"Northern California"
ci,11391450,4,"Thursday, November 14, 2013 02:55:12 UTC",33.7140,-116.8273,2.0,19.70,59,"Southern California"
nc,72107156,0,"Thursday, November 14, 2013 02:54:57 UTC",35.2463,-120.5108,1.7,6.00, 7,"Central California"
mb,29535,1,"Thursday, November 14, 2013 02:45:01 UTC",47.2790,-113.8445,1.1,22.50, 7,"western Montana"
